manual_saver
BREAD,$GPRMC,090733.000,A,3907.6458,N,08431.6074,W,0.02,39.41,040120,,,A*41
BREAD,$GPRMC,090734.000,A,3907.6458,N,08431.6074,W,0.12,14.47,040120,,,A*4E

BREAD,$GPRMC,090735.000,A,3907.6458,N,08431.6074,W,0.13,353.37,040120,,,A*79

BREAD,$GPRMC,090736.000,A,3907.6458,N,08431.6074,W,0.19,345.09,040120,,,A*7A

BREAD,$GPRMC,090737.000,A,3907.6459,N,08431.6074,W,0.21,325.24,040120,,,A*78

BREAD,$GPRMC,090738.000,A,3907.6459,N,08431.6074,W,0.08,341.51,040120,,,A*7C

BREAD,$GPRMC,090739.000,A,3907.6459,N,08431.6074,W,0.09,1.15,040120,,,A*7B

BREAD,$GPRMC,090740.000,A,3907.6460,N,08431.6074,W,0.10,358.81,040120,,,A*75

BREAD,$GPRMC,090741.000,A,3907.6460,N,08431.6075,W,0.10,107.10,040120,,,A*75

BREAD,$GPRMC,090742.000,A,3907.6460,N,08431.6074,W,0.20,80.94,040120,,,A*46

BREAD,$GPRMC,090743.000,A,3907.6460,N,08431.6074,W,0.08,22.90,040120,,,A*41
BREAD,$GPRMC,090744.000,A,3907.6460,N,08431.6074,W,0.10,343.93,040120,,,A*78

BREAD,$GPRMC,090745.000,A,3907.6460,N,08431.6074,W,0.13,17.70,040120,,,A*45

BREAD,$GPRMC,090746.000,A,3907.6461,N,08431.6074,W,0.12,342.23,040120,,,A*73

BREAD,$GPRMC,090747.000,A,3907.6461,N,08431.6074,W,0.07,277.36,040120,,,A*75

BREAD,$GPRMC,090748.000,A,3907.6461,N,08431.6074,W,0.10,241.06,040120,,,A*7A

BREAD,$GPRMC,090749.000,A,3907.6460,N,08431.6074,W,0.05,140.87,040120,,,A*75

BREAD,$GPRMC,090750.000,A,3907.6460,N,08431.6074,W,0.19,136.23,040120,,,A*7F

BREAD,$GPRMC,090751.000,A,3907.6460,N,08431.6074,W,0.13,216.85,040120,,,A*79

BREAD,$GPRMC,090752.000,A,3907.6460,N,08431.6074,W,0.12,205.18,040120,,,A*7D
BREAD,$GPRMC,090753.000,A,3907.6459,N,08431.6075,W,0.08,204.31,040120,,,A*76

BREAD,$GPRMC,090754.000,A,3907.6459,N,08431.6075,W,0.07,230.30,040120,,,A*78

BREAD,$GPRMC,090755.000,A,3907.6459,N,08431.6075,W,0.05,300.88,040120,,,A*7A

BREAD,$GPRMC,090756.000,A,3907.6459,N,08431.6075,W,0.09,342.37,040120,,,A*77

